#{"t_start": 1778878527.957164, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
0.390762,56,2876.971798,0.4462616822429907,0.4462616822429907,0,555
0.336022,72,2897.35519,0.4080218068535826,0.4080218068535826,0,720
1.503779,72,2918.235382,0.575778816199377,1.575778816199377,1,720
2.543498,72,2937.920858,0.6154984423676012,2.6154984423676013,2,720
1.558676,57,2954.049126,0.6155763239875389,1.615576323987539,1,569
2.770835,72,2974.633697,0.842834890965732,2.842834890965732,2,720
2.717229,63,2992.338949,0.7798286604361371,2.779828660436137,2,626
2.614449,72,3017.143467,0.6864485981308411,2.6864485981308412,2,720
2.770212,72,3037.332116,0.8422118380062306,2.8422118380062305,2,720
2.71881,72,3057.759051,0.790809968847352,2.790809968847352,2,720
2.631879,69,3077.269741,0.700778816199377,2.700778816199377,2,689
1.578857,72,3097.882439,0.6508566978193147,1.6508566978193147,1,720
2.860632,72,3118.174495,0.932632398753894,2.932632398753894,2,720
2.680893,64,3136.360759,0.744392523364486,2.744392523364486,2,635
2.721069,72,3161.025332,0.7930685358255452,2.793068535825545,2,720
3.939,61,3178.169562,1.0,4.0,3,610
2.667764,64,3195.722162,0.7314641744548287,2.7314641744548287,2,637
0.303656,56,3211.412439,0.3589563862928349,0.3589563862928349,0,553
2.634776,72,3231.852976,0.7067757009345794,2.706775700934579,2,720
2.537818,60,3248.317482,0.5971183800623053,2.597118380062305,2,593
1.633401,68,3267.121588,0.7007009345794393,1.7007009345794393,1,673
2.8177,66,3286.582987,0.8830996884735203,2.8830996884735205,2,654
2.666162,72,3311.198324,0.7381619937694704,2.7381619937694706,2,720
2.662263,69,3330.388314,0.7307632398753894,2.7307632398753894,2,685
2.802377,72,3351.241042,0.8743769470404984,2.8743769470404983,2,720
2.891863,72,3472.957377,0.9638629283489096,2.9638629283489095,2,720
0.320137,58,3489.493775,0.3780373831775701,0.3780373831775701,0,579
2.910399,72,3511.559528,0.982398753894081,2.9823987538940813,2,720
2.525586,72,3532.030288,0.5975856697819315,2.5975856697819317,2,720
0.375563,72,3557.202841,0.4469626168224299,0.4469626168224299,0,714
2.497887,60,3574.970472,0.5570872274143303,2.55708722741433,2,592
2.847525,72,3595.056904,0.9189252336448598,2.9189252336448597,2,714
0.399007,65,3613.623584,0.46370716510903426,0.46370716510903426,0,647
2.769121,72,3634.032383,0.8411214953271028,2.8411214953271027,2,720
2.6611,72,3654.783418,0.7330996884735203,2.73309968847352,2,720
1.482361,72,3676.34584,0.5543613707165109,1.554361370716511,1,720
3.9427,58,3692.628947,1.0,4.0,3,573
2.810399,72,3717.695499,0.882398753894081,2.8823987538940807,2,720
1.57186,65,3735.869541,0.636760124610592,1.6367601246105918,1,649
0.367988,65,3753.513638,0.43278816199376946,0.43278816199376946,0,648
2.774573,72,3772.967429,0.8465732087227414,2.8465732087227416,2,720
2.831427,72,3793.787745,0.9034267912772586,2.9034267912772584,2,720
1.582906,56,3809.731361,0.638006230529595,1.638006230529595,1,551
2.584153,72,3830.530202,0.6561526479750779,2.6561526479750777,2,720
2.727065,72,3850.751172,0.7990654205607477,2.7990654205607477,2,720
1.574266,59,3871.855792,0.6328660436137071,1.6328660436137072,1,586
2.787813,72,3892.554829,0.8598130841121495,2.8598130841121496,2,720
2.883505,70,3912.169414,0.9535046728971963,2.9535046728971963,2,700
1.54813,67,3931.218581,0.6143302180685358,1.614330218068536,1,662
2.797548,72,3951.76151,0.8695482866043613,2.8695482866043616,2,720
1.474651,72,3972.187489,0.5466510903426791,1.5466510903426791,1,720
2.808251,64,3991.380775,0.8716510903426792,2.871651090342679,2,634
0.369355,72,4016.247326,0.4413551401869159,0.4413551401869159,0,720
2.820461,67,4036.334585,0.8874610591900312,2.887461059190031,2,670
2.774885,72,4056.571222,0.8468847352024922,2.846884735202492,2,720
2.889672,65,4075.369682,0.9539719626168224,2.9539719626168224,2,643
2.636411,72,4096.05382,0.708411214953271,2.708411214953271,2,720
2.794121,72,4116.348535,0.8661214953271028,2.8661214953271026,2,720
2.878234,72,4137.171483,0.9502336448598131,2.950233644859813,2,720
2.723639,72,4161.707529,0.795638629283489,2.795638629283489,2,720
3.9412,59,4178.241524,1.0,4.0,3,588
2.831427,72,4198.746312,0.9034267912772586,2.9034267912772584,2,720
2.551455,65,4217.835823,0.6163551401869158,2.616355140186916,2,649
2.624726,62,4335.288482,0.6865264797507789,2.686526479750779,2,618
3.9355,65,4354.248509,1.0,4.0,3,645
1.566102,69,4373.545723,0.6345015576323988,1.6345015576323987,1,684
2.731442,67,4392.158182,0.7984423676012461,2.798442367601246,2,670
2.51294,60,4413.516405,0.5720404984423676,2.5720404984423677,2,591
2.62029,72,4434.495164,0.6922897196261683,2.692289719626168,2,720
2.838358,72,4454.646218,0.9103582554517134,2.9103582554517136,2,720
2.486711,72,4475.251783,0.5584112149532711,2.558411214953271,2,717
2.600292,69,4495.205986,0.6686915887850468,2.668691588785047,2,684
2.56636,63,4513.750454,0.6286604361370717,2.628660436137072,2,623
2.727478,56,4529.741809,0.7831775700934579,2.783177570093458,2,557
2.787112,72,4550.118483,0.8591121495327103,2.8591121495327103,2,720
3.9323,68,4573.923203,1.0,4.0,3,677
2.630804,72,4594.675403,0.702803738317757,2.702803738317757,2,720
2.605316,57,4611.436445,0.6619158878504673,2.6619158878504674,2,566
2.876598,72,4631.274612,0.9485981308411215,2.9485981308411215,2,720
3.9443,56,4648.464633,1.0,4.0,3,557
2.704377,62,4665.805078,0.7662772585669781,2.766277258566978,2,619
2.890227,72,4686.569797,0.9622274143302181,2.962227414330218,2,720
3.9335,67,4705.601872,1.0,4.0,3,665
2.717736,68,4730.603405,0.785436137071651,2.785436137071651,2,677
2.738094,66,4750.097351,0.8038940809968848,2.803894080996885,2,658
2.610321,72,4770.625516,0.6823208722741433,2.6823208722741434,2,720
0.389682,72,4791.685364,0.4616822429906542,0.4616822429906542,0,720
2.810555,72,4811.9396,0.8825545171339564,2.8825545171339564,2,720
2.88096,72,4832.963931,0.9529595015576324,2.9529595015576326,2,720
1.61101,72,4853.804454,0.6827102803738317,1.6827102803738319,1,717
2.749963,72,4880.596291,0.8219626168224299,2.8219626168224297,2,720
1.609386,72,4901.454379,0.6813862928348909,1.6813862928348908,1,720
1.487579,72,4922.713292,0.5595794392523364,1.5595794392523366,1,720
0.301053,72,4944.115343,0.37305295950155765,0.37305295950155765,0,720
2.831427,72,4964.899952,0.9034267912772586,2.9034267912772584,2,720
1.439332,60,4981.404989,0.49883177570093457,1.4988317757009346,1,595
2.799106,72,5002.904549,0.8711059190031153,2.8711059190031154,2,720
2.760788,72,5028.254331,0.8327881619937695,2.8327881619937694,2,720
2.633723,59,5045.170791,0.6925233644859813,2.6925233644859814,2,588
2.756972,72,5066.196359,0.8289719626168224,2.8289719626168224,2,720
2.673093,72,5086.913032,0.7450934579439252,2.7450934579439252,2,720
2.448794,72,5208.012223,0.5207943925233645,2.5207943925233645,2,720
2.667247,60,5225.036085,0.7269470404984424,2.7269470404984424,2,597
3.9326,68,5244.724452,1.0,4.0,3,674
1.465093,64,5262.901343,0.5281931464174455,1.5281931464174456,1,631
2.84124,72,5287.51921,0.9132398753894081,2.913239875389408,2,720
2.594355,72,5308.607933,0.6663551401869159,2.6663551401869157,2,720
0.423418,57,5324.271783,0.48021806853582555,0.48021806853582555,0,568
2.738155,71,5344.028558,0.8082554517133956,2.8082554517133955,2,701
2.784776,72,5365.116816,0.8567757009345794,2.8567757009345796,2,720
2.847782,72,5386.487326,0.9197819314641744,2.9197819314641746,2,720
2.700115,53,5402.080766,0.7531152647975078,2.7531152647975077,2,530
2.605588,69,5427.7881,0.67398753894081,2.67398753894081,2,684
2.85409,72,5448.275324,0.9260903426791277,2.9260903426791276,2,720
0.422343,60,5465.365294,0.4822429906542056,0.4822429906542056,0,599
2.783296,72,5486.315846,0.8552959501557632,2.8552959501557633,2,720
2.868426,69,5506.470483,0.9365264797507789,2.936526479750779,2,681
2.796847,72,5527.881269,0.8688473520249221,2.8688473520249222,2,720
2.793966,72,5548.819423,0.8659657320872274,2.8659657320872274,2,720
2.551902,59,5566.273515,0.610202492211838,2.610202492211838,2,583
2.913125,72,5591.097911,0.9851246105919003,2.9851246105919005,2,720
2.652865,55,5607.31188,0.7071651090342679,2.7071651090342677,2,543
2.818888,72,5628.300307,0.8908878504672897,2.8908878504672897,2,720
2.894044,72,5649.799518,0.9660436137071651,2.966043613707165,2,720
2.561255,72,5670.446584,0.6332554517133956,2.6332554517133957,2,720
2.863124,64,5690.106004,0.9263239875389409,2.926323987538941,2,632
2.841727,62,5707.923014,0.9034267912772586,2.9034267912772584,2,617
2.831427,72,5732.624789,0.9034267912772586,2.9034267912772584,2,720
1.468851,61,5750.313108,0.5297507788161994,1.5297507788161995,1,609
2.779324,72,5771.114534,0.8513239875389408,2.8513239875389407,2,720
2.625708,72,5792.44026,0.6975077881619938,2.6975077881619938,2,718
2.851611,65,5810.930187,0.9165109034267913,2.9165109034267913,2,649
2.870056,72,5831.704031,0.9420560747663551,2.942056074766355,2,720
2.690383,72,5851.643976,0.7623831775700934,2.7623831775700936,2,720
0.373394,64,5869.766348,0.43699376947040497,0.43699376947040497,0,636
2.770757,72,5894.742727,0.8427570093457943,2.842757009345794,2,720
1.428935,72,5915.042736,0.5009345794392523,1.5009345794392523,1,720
2.700352,72,5935.547899,0.7723520249221184,2.7723520249221183,2,720
2.70962,72,5956.030896,0.7816199376947041,2.781619937694704,2,720
3.9409,60,6073.81496,1.0,4.0,3,591
3.938,62,6091.975351,1.0,4.0,3,620
2.554714,56,6107.320417,0.6105140186915888,2.610514018691589,2,558
2.558525,69,6126.883965,0.62702492211838,2.62702492211838,2,685
2.546073,67,6149.866536,0.6127725856697819,2.6127725856697817,2,667
2.772393,72,6170.278861,0.844392523364486,2.844392523364486,2,720
2.724183,56,6186.227417,0.7792834890965732,2.7792834890965734,2,551
3.9432,57,6202.519061,1.0,4.0,3,568
2.637502,72,6223.877489,0.7095015576323987,2.709501557632399,2,720
2.59272,72,6244.372313,0.6647196261682243,2.664719626168224,2,720
3.9386,62,6261.545799,1.0,4.0,3,614
2.65849,59,6277.892982,0.7172897196261683,2.7172897196261685,2,588
2.629866,62,6299.042853,0.6909657320872274,2.6909657320872276,2,611
2.710552,62,6315.737622,0.7723520249221184,2.7723520249221183,2,618
