profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
hard,300393,0.14668192219679635,0.14668192219679635,0,63,621,True,False
medium,300394,0.3382398753894081,0.3382398753894081,0,70,693,True,False
hard,300395,0.21842105263157896,0.21842105263157896,0,66,651,True,False
medium,300396,0.45825545171339566,0.45825545171339566,0,70,697,True,False
hard,300397,0.40926773455377574,0.40926773455377574,0,65,647,True,False
medium,300398,0.4489096573208723,0.4489096573208723,0,61,608,True,False
hard,300399,0.20108695652173914,0.20108695652173914,0,61,608,True,False
medium,300400,0.3754672897196262,0.3754672897196262,0,72,717,True,False
hard,300401,0.2608695652173913,0.2608695652173913,0,72,718,True,False
medium,300402,0.3558411214953271,0.3558411214953271,0,63,624,True,False
hard,300403,0.2345537757437071,0.2345537757437071,0,61,601,True,False
medium,300404,0.42179127725856697,0.42179127725856697,0,66,660,True,False
hard,300405,0.10034324942791761,0.10034324942791761,0,64,632,True,False
medium,300406,0.40420560747663553,0.40420560747663553,0,80,799,True,False
hard,300407,0.17917620137299772,0.17917620137299772,0,61,606,True,False
medium,300408,0.49929906542056074,0.49929906542056074,0,79,790,True,False
hard,300409,0.14078947368421052,0.14078947368421052,0,61,602,True,False
medium,300410,0.4054517133956386,0.4054517133956386,0,89,882,True,False
hard,300411,0.3022311212814645,0.3022311212814645,0,75,747,True,False
medium,300412,0.31534267912772584,0.31534267912772584,0,66,657,True,False
hard,300413,0.2589816933638444,0.2589816933638444,0,76,760,True,False
medium,300414,0.45794392523364486,0.45794392523364486,0,81,806,True,False
hard,300415,0.16481693363844394,0.16481693363844394,0,59,585,True,False
medium,300416,0.3999221183800623,0.3999221183800623,0,66,654,True,False
hard,300417,0.27768878718535467,0.27768878718535467,0,61,604,True,False
medium,300418,0.6181464174454828,1.618146417445483,1,90,900,False,True
hard,300419,0.23123569794050344,0.23123569794050344,0,60,593,True,False
medium,300420,0.22686915887850467,0.22686915887850467,0,60,596,True,False
hard,300421,0.2259153318077803,0.2259153318077803,0,60,594,True,False
medium,300422,0.47858255451713394,0.47858255451713394,0,74,731,True,False
hard,300423,0.2076086956521739,0.2076086956521739,0,64,634,True,False
medium,300424,0.7154984423676013,2.7154984423676014,2,72,712,True,False
hard,300425,0.15680778032036613,0.15680778032036613,0,70,692,True,False
medium,300426,0.744392523364486,2.744392523364486,2,62,615,True,False
hard,300427,0.32991990846681923,0.32991990846681923,0,73,725,True,False
medium,300428,0.6947819314641744,2.6947819314641746,2,74,738,True,False
hard,300429,0.22803203661327232,0.22803203661327232,0,58,579,True,False
medium,300430,0.789797507788162,2.789797507788162,2,68,678,True,False
hard,300431,0.21893592677345539,0.21893592677345539,0,62,619,True,False
medium,300432,0.8421339563862928,2.842133956386293,2,81,808,True,False
hard,300433,0.1751716247139588,0.1751716247139588,0,61,601,True,False
medium,300434,0.2542056074766355,0.2542056074766355,0,58,574,True,False
hard,300435,0.21081235697940504,0.21081235697940504,0,63,622,True,False
medium,300436,0.7827881619937694,1.7827881619937695,1,85,846,True,False
hard,300437,0.17620137299771166,0.17620137299771166,0,90,900,False,True
medium,300438,0.6100467289719627,1.6100467289719627,1,71,706,True,False
hard,300439,0.1507437070938215,0.1507437070938215,0,64,636,True,False
medium,300440,0.4090342679127726,0.4090342679127726,0,60,600,True,False
hard,300441,0.13506864988558354,0.13506864988558354,0,57,561,True,False
medium,300442,0.35498442367601246,0.35498442367601246,0,72,715,True,False
hard,300443,0.20520594965675057,0.20520594965675057,0,65,649,True,False
medium,300444,0.5025700934579439,1.502570093457944,1,90,900,False,True
hard,300445,0.16750572082379864,0.16750572082379864,0,60,596,True,False
medium,300446,0.36121495327102804,0.36121495327102804,0,80,795,True,False
hard,300447,0.19719679633867276,0.19719679633867276,0,58,576,True,False
medium,300448,0.5469626168224299,2.5469626168224297,2,76,753,True,False
hard,300449,0.4621853546910755,0.4621853546910755,0,79,782,True,False
medium,300450,0.4672897196261682,0.4672897196261682,0,76,754,True,False
hard,300451,0.16390160183066363,0.16390160183066363,0,73,725,True,False
medium,300452,0.6823208722741433,1.6823208722741434,1,71,710,True,False
hard,300453,0.2846109839816934,0.2846109839816934,0,82,819,True,False
medium,300454,0.1513239875389408,0.1513239875389408,0,61,609,True,False
hard,300455,0.2711670480549199,0.2711670480549199,0,83,828,True,False
medium,300456,0.8028816199376947,2.8028816199376947,2,72,719,True,False
hard,300457,0.23695652173913043,0.23695652173913043,0,67,668,True,False
medium,300458,0.32951713395638627,0.32951713395638627,0,73,725,True,False
hard,300459,0.31189931350114414,0.31189931350114414,0,60,592,True,False
medium,300460,0.5122274143302181,1.5122274143302181,1,72,718,True,False
hard,300461,0.12065217391304348,0.12065217391304348,0,58,578,True,False
medium,300462,0.4746105919003115,0.4746105919003115,0,63,624,True,False
hard,300463,0.24032608695652172,0.24032608695652172,0,70,693,True,False
medium,300464,0.4147196261682243,0.4147196261682243,0,90,900,False,True
hard,300465,0.15783752860411898,0.15783752860411898,0,66,655,True,False
medium,300466,0.6260124610591901,2.62601246105919,2,74,735,True,False
hard,300467,0.22763157894736843,0.22763157894736843,0,60,591,True,False
medium,300468,0.8153426791277258,2.815342679127726,2,66,656,True,False
hard,300469,0.2200228832951945,0.2200228832951945,0,62,616,True,False
medium,300470,0.579361370716511,1.5793613707165108,1,64,631,True,False
hard,300471,0.25297482837528606,0.25297482837528606,0,67,670,True,False
medium,300472,0.5335669781931465,1.5335669781931465,1,74,735,True,False
hard,300473,0.21401601830663616,0.21401601830663616,0,61,608,True,False
medium,300474,0.7674454828660436,2.7674454828660435,2,72,720,True,False
hard,300475,0.22213958810068649,0.22213958810068649,0,66,658,True,False
medium,300476,0.36230529595015576,0.36230529595015576,0,90,900,False,True
hard,300477,0.2225400457665904,0.2225400457665904,0,60,596,True,False
medium,300478,0.3623831775700935,0.3623831775700935,0,60,594,True,False
hard,300479,0.21081235697940504,0.21081235697940504,0,58,571,True,False
medium,300480,0.6857632398753895,2.6857632398753895,2,90,900,False,True
hard,300481,0.30818077803203664,0.30818077803203664,0,64,637,True,False
medium,300482,0.6172118380062306,1.6172118380062306,1,90,900,False,True
hard,300483,0.22711670480549198,0.22711670480549198,0,68,679,True,False
medium,300484,0.39221183800623055,0.39221183800623055,0,90,893,True,False
hard,300485,0.22814645308924486,0.22814645308924486,0,63,627,True,False
medium,300486,0.3299065420560748,0.3299065420560748,0,57,569,True,False
hard,300487,0.13237986270022883,0.13237986270022883,0,68,673,True,False
medium,300488,0.6236760124610592,1.6236760124610592,1,71,701,True,False
hard,300489,0.1654462242562929,0.1654462242562929,0,79,789,True,False
medium,300490,0.4644080996884735,0.4644080996884735,0,76,759,True,False
hard,300491,0.2520594965675057,0.2520594965675057,0,76,756,True,False
medium,300492,0.857398753894081,2.8573987538940813,2,87,869,True,False
hard,300493,0.10183066361556065,0.10183066361556065,0,61,609,True,False
medium,300494,0.25802180685358256,0.25802180685358256,0,57,567,True,False
hard,300495,0.34393592677345536,0.34393592677345536,0,68,675,True,False
medium,300496,0.6958722741433022,2.6958722741433023,2,79,786,True,False
