label,profile,seed,score,damage_pct,stars,steps,ticks,terminated,truncated,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,active_nearest_distance_mean,active_close_pair_fraction_mean,active_quadrant_entropy_mean,troop_damage_taken_pct,cannon_damage_pct,wizard_tower_damage_pct,mortar_damage_pct,bomb_damage_pct,splash_damage_pct,cannon_deaths,wizard_tower_deaths,mortar_deaths,bomb_deaths,splash_deaths,multi_hit_splash_events,wizard_tower_multi_hit_events,mortar_multi_hit_events,bomb_multi_hit_events,wall_breakers_deployed,wall_breaker_explosions,wall_breakers_dead_without_explosion,wall_segments_damaged_by_wb,wall_segments_destroyed_by_wb,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,spells_remaining,townhall_destroyed,defenses_destroyed
final,hard,600050,2.5354118993135013,0.5354118993135012,2,79,789,1,0,65,2,0.7692307692307693,1.0,-0.0,2.171494376481464,0.16739136931444626,0.34479791122771025,0.9790985915492958,0.10394366197183107,0.19735211267605632,0.6778028169014084,0.0,0.8751549295774647,5,19,33,0,52,43,9,34,0,15,8,7,32,16,4,4,0,0,1,5
final,hard,600051,1.5251716247139588,0.5251716247139588,1,78,780,1,0,65,3,0.6461538461538462,1.0,-0.0,2.5405738098863644,0.21626794258373203,0.22957562742354484,0.917971830985915,0.2206478873239434,0.24695774647887303,0.4503661971830985,0.0,0.6973239436619716,12,14,24,0,38,39,18,21,0,15,15,0,66,30,4,4,0,0,0,4
final,hard,600052,0.34813501144164727,0.34813501144164727,0,77,768,1,0,65,2,0.7692307692307693,1.0,-0.0,3.0766132934682004,0.22017543859649125,0.03834051202695517,0.9919718309859149,0.09650704225352119,0.5431549295774639,0.3523098591549296,0.0,0.8954647887323937,5,33,22,0,55,63,40,23,0,15,5,10,22,10,4,4,0,0,0,4
final,hard,600053,1.471950800915332,0.47195080091533187,1,83,828,1,0,65,2,0.7692307692307693,1.0,-0.0,3.452588508593042,0.15082437887315933,0.3234548154836236,0.9621408450704224,0.15504225352112683,0.2498309859154927,0.5572676056338028,0.0,0.8070985915492954,9,15,29,0,44,46,20,26,0,15,12,3,54,27,4,4,0,0,1,3
final,hard,600054,0.3679633867276888,0.3679633867276888,0,75,743,1,0,65,2,0.7692307692307693,1.0,-0.0,2.729417864591785,0.1190916440916441,0.1804990065404118,0.9373521126760554,0.407267605633802,0.1929014084507042,0.33718309859154927,0.0,0.5300845070422534,30,3,20,0,23,9,0,9,0,15,12,3,44,22,0,4,0,4,0,2
final,hard,600055,0.4376144164759723,0.4376144164759723,0,80,793,1,0,65,2,0.7692307692307693,1.0,-0.0,3.069797759769376,0.17810016987232177,0.2956357494728329,0.9589577464788733,0.12033802816901418,0.14464788732394365,0.6567605633802817,0.037211267605633806,0.8386197183098592,4,12,36,5,53,34,6,27,1,15,8,7,37,15,4,4,0,0,0,4
final,hard,600056,2.584616704805492,0.5846167048054921,2,79,783,1,0,65,3,0.6461538461538462,1.0,-0.0,2.5160087872567165,0.25796703296703294,0.08271462475654436,0.9220000000000002,0.15200000000000008,0.17704225352112674,0.5854647887323944,0.007492957746478876,0.77,6,12,30,2,44,41,14,26,1,15,15,0,65,26,4,4,0,0,1,3
final,hard,600057,2.741762013729977,0.7417620137299771,2,98,974,1,0,65,3,0.6461538461538462,1.0,-0.0,2.226468104207688,0.39633167519765455,0.13477342586044896,0.9291830985915489,0.1552957746478874,0.27777464788732364,0.49611267605633785,0.0,0.7738873239436616,9,15,27,0,42,37,22,15,0,15,14,1,70,34,4,4,0,0,1,5
final,hard,600058,1.4689931350114416,0.46899313501144163,1,79,781,1,0,65,2,0.7692307692307693,1.0,-0.0,1.9409218969091537,0.15129682727085322,0.21906189333542445,0.992760563380281,0.0455774647887324,0.4275774647887318,0.5196056338028168,0.0,0.9471830985915485,1,34,28,0,62,47,26,21,0,15,2,13,10,5,4,4,0,0,1,2
final,hard,600059,0.4477860411899313,0.4477860411899313,0,79,782,1,0,65,2,0.7692307692307693,1.0,-0.0,2.3047073212673017,0.2999921730690961,0.26706913871454385,0.9154929577464781,0.10546478873239444,0.31577464788732357,0.49425352112676013,0.0,0.8100281690140837,4,3,43,0,46,38,20,18,0,15,15,0,67,31,4,4,0,0,0,3
