profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
hard,220173,54,537,0.163558352402746,0.163558352402746,0,True,False,10,0,10,0,7275.0,27,20,0,20,28,21,7575.0
hard,220174,54,531,0.2645308924485126,0.2645308924485126,0,True,False,10,0,10,0,6375.0,25,16,0,16,29,20,7575.0
hard,220175,56,558,0.24651029748283754,0.24651029748283754,0,True,False,10,0,10,0,7500.0,30,20,0,20,35,24,8742.0
hard,220176,56,552,0.31990846681922197,0.31990846681922197,0,True,False,10,0,8,2,3900.0,13,13,0,13,19,19,5700.0
hard,220177,53,524,0.3058924485125858,0.3058924485125858,0,True,False,10,0,9,1,6300.0,25,17,0,17,31,23,8100.0
hard,220178,55,543,0.4035011441647596,0.4035011441647596,0,True,False,10,0,10,0,7500.0,25,25,0,25,36,32,10079.5
hard,220179,53,522,0.16996567505720825,0.16996567505720825,0,True,False,10,0,10,0,6300.0,26,16,0,16,28,17,6838.0
hard,220180,54,535,0.41418764302059496,0.41418764302059496,0,True,False,10,0,10,0,7200.0,24,24,0,24,37,32,9922.7
hard,220181,56,558,0.3315617848970252,0.3315617848970252,0,True,False,10,0,10,0,5850.0,23,16,0,16,29,22,7650.0
hard,220182,54,535,0.3295194508009153,0.3295194508009153,0,True,False,10,0,9,1,5775.0,21,16,0,16,23,18,6375.0
hard,220183,53,527,1.4088615560640734,0.4088615560640733,1,True,False,10,0,10,0,6000.0,20,20,0,20,26,24,7501.0
hard,220184,56,552,0.2866132723112128,0.2866132723112128,0,True,False,10,0,9,1,6150.0,21,20,0,20,25,23,7168.650000000001
hard,220185,56,551,0.21789473684210522,0.21789473684210522,0,True,False,10,0,9,1,5250.0,20,15,0,15,23,17,6068.400000000001
hard,220186,55,541,0.28215102974828377,0.28215102974828377,0,True,False,10,0,10,0,5625.0,23,13,0,13,28,17,7119.0
hard,220187,56,555,0.3295194508009153,0.3295194508009153,0,True,False,10,0,10,0,6425.0,22,22,0,22,26,26,7800.0
hard,220188,55,542,0.47608695652173916,0.47608695652173916,0,True,False,10,0,9,1,6375.0,23,18,0,18,29,24,8175.0
hard,220189,56,553,1.6580720823798627,0.6580720823798626,1,True,False,10,0,10,0,5400.0,18,18,0,18,24,22,6702.2
hard,220190,54,535,0.26533180778032034,0.26533180778032034,0,True,False,10,0,10,0,6300.0,21,21,0,21,26,25,7794.0
hard,220191,54,538,0.14948512585812357,0.14948512585812357,0,True,False,10,0,9,1,4995.0,17,16,0,16,18,17,5295.0
hard,220192,53,530,0.3347254004576659,0.3347254004576659,0,True,False,10,0,10,0,7500.0,25,25,0,25,30,29,8707.0
hard,220193,56,560,0.4111556064073226,0.4111556064073226,0,True,False,10,0,10,0,6300.0,21,21,0,21,30,30,9000.0
hard,220194,82,811,2.742162471395881,0.742162471395881,2,True,False,10,0,10,0,6300.0,21,21,0,21,37,36,10947.0
hard,220195,56,555,0.35749427917620136,0.35749427917620136,0,True,False,10,0,10,0,7050.0,27,20,0,20,33,25,8585.0
hard,220196,53,525,0.27545766590389015,0.27545766590389015,0,True,False,10,0,10,0,7590.0,26,24,0,24,29,26,8291.5
hard,220197,53,524,0.22568649885583525,0.22568649885583525,0,True,False,10,0,9,1,6075.0,22,17,0,17,24,19,6675.0
hard,220198,55,545,0.3462814645308924,0.3462814645308924,0,True,False,10,0,10,0,6809.0,23,23,0,23,30,30,9000.0
hard,220199,56,551,0.3684210526315789,0.3684210526315789,0,True,False,10,0,10,0,6540.0,25,18,0,18,27,19,6980.0
