#{"t_start": 1779135060.2803037, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.597439,79,44911.520348,hard,0.4662471395881007,0.4662471395881007,0,785,8,4,4,4,4,0,0,0,0,0.015692219679633773,0.0376785714285712,0.0,0.5499999999999985,0.182,4,False,113,0.06963028169014085,0.10549227688787183,0.10419999999999983,0.00549227688787182,0.1,0.06599999999999982,0.018200000000000004,0.02,0.0,0.0,0.0
2.795107,77,44937.314689,hard,0.5527402745995424,2.5527402745995422,2,763,8,4,4,4,4,0,0,0,0,0.009130434782608754,0.021923076923077062,0.0,0.4205906593406583,1.0,3,True,132,0.08514084507042254,0.10319565217391306,0.21547087912087898,0.003195652173913064,0.1,0.05047087912087899,0.1,0.015,0.05,0.0,0.0
0.271574,90,44966.311117,hard,0.23443935926773454,0.23443935926773454,0,900,8,4,4,4,4,0,0,0,0,0.0008409610983981787,0.0020192307692307914,0.0,0.1820054945054945,0.0,1,False,106,0.06911971830985915,0.10029433638443937,0.026840659340659344,0.00029433638443936253,0.1,0.021840659340659343,0.0,0.005,0.0,0.0,0.0
0.466356,76,44996.742043,hard,0.3752288329519451,0.3752288329519451,0,759,8,4,4,4,4,0,0,0,0,0.01489702517162479,0.02221153846153859,0.0,0.390109890109889,0.0,3,False,99,0.08616197183098591,0.10521395881006868,0.06181318681318668,0.005213958810068676,0.1,0.04681318681318668,0.0,0.015,0.0,0.0,0.0
0.484236,78,45023.487292,hard,0.386441647597254,0.386441647597254,0,772,8,4,4,4,4,0,0,0,0,0.02282608695652171,0.011826923076923108,0.0,0.43337912087912034,0.0,3,False,144,0.13183098591549297,0.1079891304347826,0.06700549450549442,0.007989130434782598,0.1,0.05200549450549442,0.0,0.015,0.0,0.0,0.0
3.06295,88,45052.792649,hard,0.7770594965675057,2.7770594965675057,2,872,8,4,4,4,4,0,0,0,0,0.03616132723112115,0.0375,0.11969999999999911,0.7119505494505552,0.9999999999999959,5,True,106,0.07841549295774648,0.11265646453089241,0.2604340659340662,0.012656464530892404,0.1,0.08543406593406663,0.09999999999999959,0.025,0.05,0.0,0.0
0.469648,78,45078.996279,hard,0.408466819221968,0.408466819221968,0,775,8,4,4,4,4,0,0,0,0,0.0,0.0,0.0,0.23901098901098902,0.0,2,False,141,0.0868838028169014,0.1,0.03868131868131869,0.0,0.1,0.028681318681318686,0.0,0.01,0.0,0.0,0.0
0.448679,81,45105.895001,hard,0.361258581235698,0.361258581235698,0,807,8,4,4,4,4,0,0,0,0,0.03820366132723109,0.008076923076923165,0.0,0.3729120879120876,0.0,2,False,168,0.1428169014084507,0.11337128146453089,0.05474945054945052,0.01337128146453088,0.1,0.044749450549450516,0.0,0.01,0.0,0.0,0.0
2.808651,77,45131.181469,hard,0.5413043478260869,2.541304347826087,2,765,8,4,4,4,4,0,0,0,0,0.022419908466819346,0.03681318681318694,0.04130000000000021,0.5499999999999983,0.999999999999998,4,True,96,0.07225352112676056,0.10784696796338678,0.2359999999999996,0.007846967963386771,0.1,0.0659999999999998,0.0999999999999998,0.02,0.05,0.0,0.0
0.358014,71,45153.697575,hard,0.33918764302059495,0.33918764302059495,0,709,6,2,4,2,4,0,0,0,2,0.0,0.0,0.0,0.5671703296703297,0.0,4,False,59,0.04288732394366197,0.001665492957746477,0.08806043956043955,0.0,0.061665492957746475,0.06806043956043954,0.0,0.02,0.0,0.0,0.06
2.957203,77,45183.892834,hard,0.6935926773455378,2.6935926773455376,2,761,8,4,4,4,4,0,0,0,0,0.023787185354690783,0.0,0.1385999999999983,0.5115384615384615,0.9999999999999959,4,True,126,0.09073943661971831,0.10832551487414178,0.23138461538461497,0.008325514874141774,0.1,0.06138461538461536,0.09999999999999959,0.02,0.05,0.0,0.0
